Raport privind anunțul
Toată perioada
Starea anunțului	Adresa URL finală	Titlul 1	Poziția titlului 1	Titlul 2	Poziția titlului 2	Titlul 3	Poziția titlului 3	Titlul 4	Poziția titlului 4	Titlul 5	Poziția titlului 5	Titlul 6	Poziția titlului 6	Titlul 7	Poziția titlului 7	Titlul 8	Poziția titlului 8	Titlul 9	Poziția titlului 9	Titlul 10	Poziția titlului 10	Titlul 11	Poziția titlului 11	Titlul 12	Poziția titlului 12	Titlul 13	Poziția titlului 13	Titlul 14	Poziția titlului 14	Titlul 15	Poziția titlului 15	Descriere	Descrierea 1	Poziția descrierii 1	Descrierea 2	Poziția descrierii 2	Descrierea 3	Poziția descrierii 3	Descrierea 4	Poziția descrierii 4	Descrierea 5	Codul imaginii	Cod de imagine pătrat	ID-ul imaginii în format portret	Cod de siglă	Numele companiei	Codul imaginii din Rețeaua de display	Textul îndemnului	Nume anunț	Cale 1	Cale 2	Adresa URL finală mobilă	Șablon de monitorizare	Sufixul adresei URL finale	Parametru personalizat	Campanie	Grup de anunțuri	Stare	Motive pentru stare	Tip de anunț	Puterea anunțului	Îmbunătățiri privind puterea anunțului	Codul monedei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Rata de conv.	Conversii	Cost/Conversie
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	Cazier Online Rapid	1	Cazier Online - eGhiseul.ro	2	Obtinere Cazier 100% Online	3	Cerere Cazier - eGhiseul	 --	400+ Recenzii Google 4.9	 --	Cazier Pentru Angajare	 --	Certificat Cazier	 --	Comanda Cazier Online Acum	 --	Livrare in Toata Romania	 --	Primesti pe Email in 24h	 --	Eliberare Cazier Rapid	 --	Asistenta Completa Inclusa	 --	Cazier Pentru Firma	 --	Cazier Judiciar Romania	 --	Cazier Persoane Fizice	 --	 --	"Obtine cazier rapid si simplu. Pret 197,5 RON cu TVA, procesare in 24h, 400+ recenzii."	 --	"Servicii profesionale obtinere cazier. Cei mai vechi pe piata, rating 4.9 din 5."	 --	"Cerere cazier fara deplasari. Platforma 100% online, asistenta completa inclusa."	 --	"Comanda {KeyWord:Cazier Online} acum. Procesare rapida, suport dedicat, pret transparent."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=cazier_judiciar_2026&utm_term={keyword}&utm_content={creative}	 --	{_campanie}=cazier2026	SEARCH-NEW	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente;Adăugați încă șase sitelinkuri în anunț	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	{KeyWord:Cazier Judiciar Online}	1	Eliberare Certificat Cazier	 --	Cazier Online Rapid	 --	Obtine Cazier Judiciar	 --	Cazier Judiciar 195 RON	 --	100% Online si Legal	 --	Procesare Rapida 24h	 --	400+ Recenzii Google	 --	Fara Deplasari	 --	Cei Mai Vechi pe Piata	 --	Livrare in Toata Tara	 --	Asistenta Completa	 --	Platforma Sigura	 --	Cazier Persoane Fizice	 --	Cazier Persoane Juridice	 --	 --	"Obtine {KeyWord:Cazier Judiciar} rapid si simplu. Pret 250 RON cu TVA, livrare in 24h."	 --	"{KeyWord:Cazier Judiciar Online} de la cei mai vechi pe piata. 400+ recenzii, 100% legal."	 --	"Eliberare {KeyWord:Cazier Judiciar} fara deplasari. Asistenta completa, platforma sigura."	 --	"Comanda {KeyWord:Cazier Online} acum. Procesare rapida, suport dedicat, pret transparent."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=cazier_search_2026&utm_term={keyword}	 --	{_campaign}=cazier2026	Cazier Judiciar - Search 2026	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Adăugați câteva titluri unice sau anulați fixarea pentru câteva elemente;Adăugați încă un sitelink în anunț	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/eliberare-certificat-de-celibat/	Certificat de Celibat	 --	Certificat de Celibat Online	 --	Certificat de Celibat Romania	 --	Anexa 9 stare civila	 --	Eliberare certificat celibat	 --	Dovada de celibat rapid	 --	Comanda anexa 9 online	 --	Certificat celibat in PDF	 --	Ce inseamna certificat celibat	 --	Unde se elibereaza celibatul	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Comanda online certificatul de celibat sau anexa 9. Livrare pe email/WhatsApp.	 --	"Eliberam dovada de celibat pentru acte oficiale. Rapid, legal si fara deplasari."	 --	"Ai nevoie de certificat de celibat? Aplici online in 2 minute, primesti digital."	 --	"Certificat de celibat valabil in Romania. Simplu, rapid si fara birocratie."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OTP - CERTIFICAT DE CELIBAT	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Adăugați încă cinci sitelinkuri în anunț	RON	"666,64"	12.113	1.886	"15,57%"	"4,28"	"8075,02"	"0,00"	0	"0,00"	"2,07%"	"39,00"	"207,05"
Activat	https://eghiseul.ro/servicii/certificat-constatator-online/	Livrat în câteva minute	 --	Taxa ONRC inclusă: 89 lei	 --	"Emis automat, non-stop"	 --	Semnat electronic ONRC	 --	"Serviciu privat, nu ONRC"	 --	Comanzi în 2 minute	 --	"Fără cont, fără drumuri"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Serviciu privat de intermediere, independent de ONRC. Preț final 89 lei, cu factură."	 --	"Comanzi online, primești documentul pe email în câteva minute. Taxa ONRC inclusă."	 --	"Emis și semnat electronic, verificabil online. Funcționează 24/7, inclusiv weekend."	 --	"Completezi CUI-ul, plătești cu cardul, primești certificatul. Fără deplasări."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	certificat	constatator		 --	 --		Search-Constatator-2026-08	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Adăugați încă șase sitelinkuri în anunț	RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	Cazier Judiciar Online	 --	Cazier Judiciar Rapid și Ușor	 --	Obțineți Cazierul Rapid	 --	Aplică Online	 --	Fără Cozi	 --	Fără Deplasări	 --	Fără Birocrație	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Obține cazierul judiciar online rapid și sigur. Fără cozi, fără stres. Aplică acum!"	 --	"Cazier judiciar online, sigur și eficient. Fără bătăi de cap. Aplică astăzi!"	 --	"Solicită cazierul judiciar online simplu și rapid. Fără cozi, fără complicații!"	 --	"Cazier judiciar online, fără stres și fără timp pierdut. Aplică acum și economisește timp!"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		REMARKETING - Search	Grupul de anunțuri 1	Neeligibil	campanie eliminată	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri	RON	"5507,43"	1.515	467	"30,83%"	"17,87"	"8343,75"	"0,00"	0	"0,00"	"3,10%"	"14,49"	"576,02"
Activat	https://eghiseul.ro	Obtinere Cazier Rapid	 --	Cazier Judiciar Romania	 --	Cazier Judiciar Oficial	 --	400+ Recenzii Google 4.9	 --	Cazier Pentru Angajare	 --	Platforma Sigura	 --	Suport Avocat Documente	 --	Ajutor Cazier Judiciar Online	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Platformă online pentru informații și servicii administrative în România.	 --	Accesează platforma pentru informații și servicii administrative online.	 --	Informații și servicii pentru cazier judiciar și documente oficiale	 --	Asistență juridică pentru obținere cazier judiciar online rapid și sigur	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-19	Grupul de anunțuri 1	Neeligibil	aprobat și etichetat; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"263,17"	21	4	"19,05%"	"1,38"	"5,53"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/asistenta-pentru-obtinere-cazier-online/	Cazier Reabilitare	 --	Cazier Online {LOCATION(City)}	 --	Asistență Cazier Online	 --	Ajutor Cazier Online	 --	Certificat Online	 --	Ajutor Cazier Juridic Online	 --	Ridicare Cazier Judiciar	 --	Asistență Certificat Online	 --	Documente Rapid Online	 --	Aplică Online Simplu	 --	Cazier prin Avocat	 --	Suport Cazier Online	 --	 --	 --	 --	 --	 --	 --	 --	Primești sprijin pentru obținerea cazierului prin avocat colaborator.	 --	Evită cozile la ghișee – aplică online pentru cazier rapid și sigur.	 --	Suport complet pentru depunere și obținerea documentului oficial.	 --	Ajutor pas cu pas pentru obținerea cazierului din România sau străinătate.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Asistenta Obtinere Cazier	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"123,63"	19.936	1.862	"9,34%"	"1,32"	"2464,65"	"0,00"	0	"0,00"	"3,27%"	"60,96"	"40,43"
Activat	https://eghiseul.ro/servicii/extras-de-carte-funciara/	Extras de Carte Funciară	 --	Extras CF Online	 --	Carte Funciară Online	 --	Carte Funciară ANCPI Online	 --	Verifică Cartea Funciară	 --	Extrasul de Carte Funciară	 --	Extras de CF Fără Stres	 --	Obține Rapid Extrasul Funciar	 --	Simplu și Sigur: Extras CF	 --	CF Online Timisoara	 --	Extras Carte Funciara Cluj	 --	Extras CF Online Sibiu	 --	Extras CF Online Brasov	 --	CF Online Oradea	 --	CF Online ARAD	 --	 --	Obține extrasul de carte funciară rapid și simplu online. Fără cozi. Aplică acum!	 --	Extras de carte funciară online rapid și sigur. Simplu și eficient. Aplică astăzi!	 --	"Extras de carte funciară în câteva ore. Online, rapid și sigur. Aplică acum!"	 --	Simplifică obținerea extrasului de carte funciară. Rapid și sigur. Aplică online!	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	carte-funciara	online		https://eghiseul.ro/servicii/extras-de-carte-funciara/?utm_source=google&utm_medium=cpc&utm_campaign=search_campaign	 --		Extras CF - SEARCH CAMPAIGN	Extras de Carte Funciara	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă patru sitelinkuri în anunț	RON	"359,01"	1.378.518	163.515	"11,86%"	"3,03"	"494906,99"	"0,00"	0	"0,00"	"7,51%"	"12.279,46"	"40,30"
Activat	https://eghiseul.ro/servicii/eliberare-certificat-de-nastere/	Certificat de nastere online	 --	Duplicat certificat pierdut	 --	Eliberare certificat rapid	 --	Certificat copil online	 --	Cerere certificat naștere	 --	Obține certificat rapid	 --	Certificat naștere pierdut	 --	Certificat în format PDF	 --	Apostila certificat de nastere	 --	Acte necesare Certificat	 --	Certificat de nastere urgent	 --	Eliberare certificatul online	 --	Cerere certificat pierdut	 --	Duplicat certificat online	 --	Obtine certificat fara drumuri	 --	 --	Obtine online certificatul de nastere. Livrare pe email sau WhatsApp in cateva zile.	 --	"Ai pierdut certificatul? Aplica acum pentru duplicat online, rapid si simplu."	 --	"Certificat valabil legal, emis digital. Fara cozi, fara drumuri, fara batai de cap."	 --	"Certificat pentru copil sau adult, fara birocratie. Comanda online in 2 minute."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OTP - CERTIFICAT DE NASTERE	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"296,48"	30.735	4.975	"16,19%"	"1,83"	"9112,21"	"0,00"	0	"0,00"	"1,09%"	"54,44"	"167,39"
Activat	https://eghiseul.ro/servicii/cazier-fiscal-online/	Cazier Fiscal Online	 --	Asistență Documente Online	 --	Asistență Cazier Fiscal	 --	Procesare Rapidă Documente	 --	Solicită Cazier Fiscal Rapid	 --	Servicii Administrative Online	 --	Procesare Documente Online	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Platformă online pentru servicii administrative și suport documente.	 --	Trimite cererea online. Echipa oferă asistență în procesarea documentelor.	 --	Serviciu privat pentru gestionarea cererilor administrative online.	 --	Platformă digitală pentru solicitări administrative rapide.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-23-Fiscal	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"312,18"	198	25	"12,63%"	"2,47"	"61,81"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat		 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"Aplică online pentru documente oficiale. Rapid, sigur și fără drumuri la ghișeu."	 --	 --	Platformă privată de intermediere. Primești documentele direct pe email sau WhatsApp.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-21-Cazier-Jud	Grup de anunțuri 2	Neeligibil	respins; campanie întreruptă	Anunț dinamic extins afișat în rețeaua de căutare	 --	 --	RON	"719,93"	42	12	"28,57%"	"2,52"	"30,24"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro	Antecedente Penale	 --	Comanda online	 --	Fără deplasare	 --	Fără timp pierdut	 --	Procesare Documente Online	 --	Servicii Administrative Online	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	Platformă online pentru solicitarea documentelor. Asistență rapidă și sigură.	 --	Aplică online pentru documente oficiale. Proces simplu și suport dedicat.	 --	Serviciu privat de asistență pentru documente administrative. 100% online.	 --	Procesare rapidă și suport specializat pentru solicitarea documentelor.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		Search-22	Ad group 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Slabă	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"214,75"	295	35	"11,86%"	"1,81"	"63,35"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/cazier-judiciar-online/	Cazier Persoane Fizice	 --	Primesti Actele Pe Email	 --	Documente Online Imediat	 --	Cerere Cazier Simpla	 --	Procesare in 24 de Ore	 --	Fara Deplasari la Ghiseu	 --	400+ Recenzii Google	 --	Rating 4.9 din 5 Stele	 --	Cei Mai Vechi pe Piata	 --	Asistenta Completa Inclusa	 --	Livrare in Toata Romania	 --	Servicii Firme si PFA	 --	Pret 250 RON Cu TVA Inclus	 --	Acte Pentru Angajare	 --	Procedura Simpla Online	 --	 --	"Asistenta completa obtinere documente. Pret 250 RON cu TVA, fara costuri ascunse."	 --	"Documente oficiale livrate rapid. Rating 4.9 din 5, peste 400 clienti multumiti."	 --	"Platforma online pentru acte oficiale. Peste 400 recenzii pozitive, experienta din 2023."	 --	"Primesti documentele pe email. Fara deplasari la ghiseu, totul online si securizat."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	asistenta	cazier		{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=cazier_judiciar_2026_v2&utm_term={keyword}&utm_content={creative}&utm_matchtype={matchtype}&utm_device={device}	 --		Cazier Judiciar 2026 v2	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Bună	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă două sitelinkuri în anunț	RON	"337,37"	379	49	"12,93%"	"2,61"	"127,86"	"0,00"	0	"0,00"	"0,00%"	"0,00"	"0,00"
Activat	https://eghiseul.ro/servicii/eliberare-certificat-de-casatorie/	Certificat de casatorie	 --	Certificat casatorie online	 --	Duplicat certificat casatorie	 --	Eliberare certificat rapid	 --	Model certificat casatorie	 --	Act de casatorie online	 --	Certificat international	 --	Document casatorie urgent	 --	Certificat stare civila online	 --	Certificat casatorie romanesc	 --	Cerere duplicat casatorie	 --	Certificat Casatorie Pierdut	 --	 --	 --	 --	 --	 --	 --	 --	"Obtii online certificatul de casatorie. Rapid, simplu si livrat digital."	 --	Duplicat certificat casatorie pierdut? Il primesti pe email sau WhatsApp.	 --	Certificat casatorie PDF sau model complet. Comanda online in 2 minute.	 --	Ai nevoie de certificat pentru strainatate? Il emitem oficial si legal.	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --		OTP - CERTIFICAT CASATORIE	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă șase sitelinkuri în anunț	RON	"520,92"	10.889	1.348	"12,38%"	"4,21"	"5672,26"	"0,00"	0	"0,00"	"0,22%"	"3,00"	"1890,75"
Activat	https://eghiseul.ro/	eGhiseul	 --	400+ Recenzii Google	 --	Primesti Actele Pe Email	 --	Fara Deplasari la Ghiseu	 --	Servicii Firme si PFA	 --	Platforma Originala	 --	Raspundem Cerintelor Tale	 --	Livrare in Toata Romania	 --	Antecendente Penale	 --	Cazier Judiciar Romania	 --	Disponibil 24/7 Online	 --	Livrare Rapida 24-48h	 --	Scapa de cozi la ghiseu	 --	eGhiseul {LOCATION(City):Romania}	 --	Livrare in {LOCATION(City):Toata Tara}	 --	 --	"Documente oficiale livrate rapid. Rating 4.9 din 5, peste 400 clienti multumiti."	 --	"Primesti documentele pe email. Fara deplasari la ghiseu, totul online si securizat."	 --	"Fără cozi, livrare 24-48h în România și diaspora"	 --	"Clienti multumiti din {LOCATION(City):toata tara}. Rating 4.9 Google, suport pe WhatsApp."	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	utm_source=google&utm_medium=cpc&utm_campaign=search-homepage&utm_term={keyword}&utm_content={adgroupid}	{_serviciu}=homepage	SEARCH-NEW-2026	Grupul de anunțuri 1	Neeligibil	respins; campanie întreruptă	Anunț adaptabil afișat în Rețeaua de căutare	Medie	Încercați să includeți mai multe cuvinte cheie în titluri;Încercați să includeți mai multe cuvinte cheie în descrieri;Adăugați încă patru sitelinkuri în anunț	RON	"343,07"	66.375	10.956	"16,51%"	"2,08"	"22771,44"	"0,00"	0	"0,00"	"1,16%"	"127,00"	"179,30"
Total: Anunțuri		 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --		 --	 --	 --	 --	 --	 --		 --	 --	 --	RON	"361,03"	5.636.799	849.409	"15,07%"	"2,40"	"2035036,77"	"3,00"	"678345,59"	"0,00"	"3,85%"	"32.713,56"	"62,21"
Total: Cont																																																															RON	"281,53"	7.422.018	1.005.458	"13,55%"	"2,08"	"2089538,89"	"3,00"	"696512,96"	"0,00"	"3,31%"	"33.307,50"	"62,73"
Total: Inteligent																																																															RON	0	0	0	 --	0	"0,00"	"0,00"	0	0	"0,00%"	"0,00"	"0,00"
Total: Căutați																																																															RON	"403,32"	5.041.017	836.501	"16,59%"	"2,43"	"2033119,13"	"0,00"	0	"0,00"	"3,91%"	"32.702,90"	"62,17"
Total: Performanță maximă																																																															RON	"30,31"	1.782.458	155.491	"8,72%"	"0,35"	"54027,91"	"0,00"	0	"0,00"	"0,38%"	"592,95"	"91,12"
Total: Generare de cerere																																																															RON	"4,00"	598.543	13.466	"2,25%"	"0,18"	"2391,85"	"3,00"	"797,28"	"0,00"	"0,09%"	"11,66"	"205,20"
