Cele mai populare interogări,23.08.2026 - 08.09.2026 Clicuri,01.08.2026 - 17.08.2026 Clicuri,23.08.2026 - 08.09.2026 Expuneri,01.08.2026 - 17.08.2026 Expuneri,23.08.2026 - 08.09.2026 CTR,01.08.2026 - 17.08.2026 CTR,23.08.2026 - 08.09.2026 Poziție,01.08.2026 - 17.08.2026 Poziție
daca ai lucrat in strainatate primesti pensie,1,2,21,23,4.76%,8.7%,1.57,2.3
calcul concediu medical cod 01,1,0,20,0,5%,0%,7.1,0
cât este tva ul în românia,1,0,19,30,5.26%,0%,1,3.33
valabilitate extras carte funciara,1,2,19,13,5.26%,15.38%,1.95,1.69
valabilitate carte funciara,1,0,19,20,5.26%,0%,2.05,1.7
calculator concedii medicale 2026,1,26,19,68,5.26%,38.24%,4.84,1.94
cota impozit dividende 2026,1,0,18,31,5.56%,0%,1.06,3.39
pensie intretinere 2 copii,1,1,17,10,5.88%,10%,1,2.4
certificat de nastere tipizat si electronic,1,1,17,47,5.88%,2.13%,1.59,2.15
pensie alimentara 2 copii salariu minim pe economie,1,3,17,10,5.88%,30%,1.65,1.8
calcul salariu indemnizatie crestere copil,1,0,16,28,6.25%,0%,1,1.5
pensie,1,51,16,3959,6.25%,1.29%,65.56,7.25
cum se calculeaza concediu medical,1,9,15,91,6.67%,9.89%,1,2.23
valoare pensie alimentara,1,0,15,11,6.67%,0%,1,1.45
calculator dobanda penalizatoare,1,10,15,42,6.67%,23.81%,4.93,2.1
taxa dividende 2026,1,1,14,26,7.14%,3.85%,1,2.12
cazierul judiciar,1,0,14,4,7.14%,0%,6.93,6.25
cand poti sa iesi la pensie,1,2,13,8,7.69%,25%,1,2.62
cum se calculeaza varsta de pensionare,1,4,13,11,7.69%,36.36%,2.31,3.91
rovinieta verificare,1,171,13,7134,7.69%,2.4%,32.92,6.43
cat se plateste pensie alimentara,1,0,12,29,8.33%,0%,1.08,2.62
calcul icc,1,1,12,17,8.33%,5.88%,2.08,1.76
calcul pensie boala,1,4,11,10,9.09%,40%,1,1.3
pensia alimentara,1,3,11,92,9.09%,3.26%,1.09,5.05
cât e pensia alimentară la un copil,1,0,11,8,9.09%,0%,1.36,2.75
cota de tva,1,0,11,8,9.09%,0%,1.73,1.25
pret impozit auto,1,2,11,33,9.09%,6.06%,2.09,2.18
calcularea concediului medical 2026,1,1,10,10,10%,10%,1,4.1
concediu medical calcul,1,3,10,16,10%,18.75%,1,2.5
cote tva,1,0,10,44,10%,0%,1,1.52
pensia alimentara pentru 2 copii,1,2,10,22,10%,9.09%,1.4,1.91
pensia alimentara pentru un copil,1,4,10,19,10%,21.05%,1.4,2.11
calcul indemnizatie concediu medical,1,0,10,10,10%,0%,1.6,6.1
amenzi rutiere 2026,1,0,10,8,10%,0%,7.6,9.25
numar cadastral,1,17,10,243,10%,7%,11.9,3.08
nascuta in 1970 cand ies la pensie,1,3,9,23,11.11%,13.04%,1,2.26
cum se calculeaza indemnizatia?,1,2,9,11,11.11%,18.18%,1.22,1.45
extras de carte funciara valabilitate,1,2,9,20,11.11%,10%,1.89,1.6
tabel varsta pensionare femei,1,46,9,3809,11.11%,1.21%,4.33,7.61
cand se poate iesi la pensie,1,0,8,12,12.5%,0%,1,6.5
pensie alimentară pentru doi copii,1,0,8,0,12.5%,0%,1.5,0
taxa impozit auto 2026,1,7,8,9,12.5%,77.78%,1.88,2
nascuta in 1969 cand ies la pensie,1,0,8,26,12.5%,0%,2.38,4.85
varsta pensie anticipata femei,1,0,8,4,12.5%,0%,2.5,1.75
care este cota de tva in romania,1,0,7,14,14.29%,0%,1,2
cum se calculeaza concediul medical?,1,3,7,12,14.29%,25%,1,1.08
când pot să ies la pensie,1,3,7,8,14.29%,37.5%,1,2.75
cât este pensia alimentară pentru un copil,1,0,7,14,14.29%,0%,1,2.57
cât se plătește pensia alimentară la un copil,1,0,7,14,14.29%,0%,1,4.07
cum se calculează indemnizația?,1,0,7,0,14.29%,0%,1.29,0
nascuta in 1971 cand ies la pensie,1,2,7,16,14.29%,12.5%,1.43,1.81
daca am lucrat in strainatate pot lua pensie,1,1,7,12,14.29%,8.33%,1.57,3
pensie alimentara fara venit,1,7,7,281,14.29%,2.49%,1.71,5.1
calcul termen reabilitare,1,2,7,6,14.29%,33.33%,1.86,2.17
ce valabilitate are extrasul de carte funciara,1,2,7,15,14.29%,13.33%,2,1.4
impozit 3.6 benzina,1,1,7,13,14.29%,7.69%,2.43,2.08
pensie pe caz de boala cat este,1,1,7,46,14.29%,2.17%,3,3.35
cazierul judiciar se poate obtine de la orice sectie de politie,1,0,7,0,14.29%,0%,5.43,0
calculator pensie online,1,298,7,2001,14.29%,14.89%,10.29,4.7
barbat nascut in 1964 cand ies la pensie,1,1,6,15,16.67%,6.67%,1,4.07
impozit pe masina 2026,1,5,6,23,16.67%,21.74%,1,1.57
cand se iese la pensie,1,2,6,28,16.67%,7.14%,1.17,2.96
daca sunt nascuta in 1972 cand ies la pensie,1,0,6,0,16.67%,0%,1.5,0
portal ancpi,1,26,6,782,16.67%,3.32%,1.83,2.74
calculator data pensionare,1,8,6,24,16.67%,33.33%,2.17,2
e ghiseu,1,1,6,57,16.67%,1.75%,2.67,2.67
certificat de naștere multilingv,1,0,6,5,16.67%,0%,4,7.2
calculator salariu,1,56,6,15525,16.67%,0.36%,15.67,8.03
cota tva in romania,1,0,5,5,20%,0%,1,3.4
taxa pe dividende 2026,1,1,5,15,20%,6.67%,1,1.73
cat este pensia alimentara minim pe economie,1,2,5,11,20%,18.18%,1.4,1.36
calculator pensie alimentara fara venit,1,0,5,0,20%,0%,1.6,0
impozit auto bucuresti 2026,1,1,5,5,20%,20%,1.6,2.2
impozit,1,3,5,2926,20%,0.1%,1.8,9.83
impozit 2000 cmc,1,0,5,0,20%,0%,1.8,0
cat este pensia de boala,1,3,5,33,20%,9.09%,2.2,3.09
calcul an pensionare,1,3,5,11,20%,27.27%,2.6,2.18
ce procent din salariul brut este salariul net,1,1,5,3,20%,33.33%,3.2,2
certificat de celibat romania,1,5,5,61,20%,8.2%,8.6,3.48
cat este o pensie alimentara in romania,1,0,4,3,25%,0%,1,4.33
cat este pensia de intretinere pentru un copil,1,0,4,0,25%,0%,1,0
calcul pensie limita de varsta femei,1,0,4,0,25%,0%,1.25,0
cat se da pensie alimentara,1,0,4,5,25%,0%,1.25,4.6
calcul indemnizatie copil,1,2,4,8,25%,25%,1.5,1.38
cost impozit auto 2026,1,0,4,0,25%,0%,1.5,0
cum se calculează indemnizația de creștere a copilului,1,2,4,8,25%,25%,1.5,1.5
simulare iesire la pensie,1,2,4,8,25%,25%,1.5,2
calcul ccc 2026,1,2,4,5,25%,40%,2,1.4
certificatul de nastere vechi este valabil,1,2,4,15,25%,13.33%,2,4.33
plata concedii medicale 2026,1,10,4,116,25%,8.62%,2.25,2.45
concediu medical 2026 procent,1,17,4,125,25%,13.6%,2.5,2.02
când ma pot pensiona,1,1,4,16,25%,6.25%,2.75,2
cei nascuti in 1969 cand ies la pensie,1,1,4,15,25%,6.67%,3.25,4.8
varsta pensionare femei,1,20,4,273,25%,7.33%,3.5,6.47
dividente 2026,1,2,4,17,25%,11.76%,5.25,5.06
acte necesare duplicat certificat casatorie,1,0,4,5,25%,0%,9,8.6
calculator salariu net,1,146,4,32788,25%,0.45%,10.75,6.03
cnpp varsta pensionare,1,22,4,321,25%,6.85%,12.75,5.77
certificatul de integritate comportamentală,1,3,4,137,25%,2.19%,27.25,2.03
cnadnr verificare rovinieta,1,1,4,30,25%,3.33%,35.25,8.77
calculator pensie de boala,1,4,3,9,33.33%,44.44%,1,6.44
certificat constatator online 30 lei,1,0,3,13,33.33%,0%,1,1.23
când se iese la pensie,1,1,3,12,33.33%,8.33%,1,2.83
model calcul indemnizatie crestere copil,1,0,3,24,33.33%,0%,1,2
calculator cand iesi la pensie,1,1,3,4,33.33%,25%,1.33,2
calcul vârsta de pensionare,1,0,3,6,33.33%,0%,1.67,2.17
calculator varsta pensionare barbati,1,1,3,6,33.33%,16.67%,1.67,2
simulare varsta pensionare femei,1,0,3,0,33.33%,0%,1.67,0
varsta pensionare calculator,1,6,3,15,33.33%,40%,1.67,3.4
calcul ani pensie,1,3,3,7,33.33%,42.86%,3,2.29
program calcul pensie,1,11,3,148,33.33%,7.43%,4.33,4.86
valabilitate rovinieta,1,48,3,2823,33.33%,1.7%,7.67,7.22
ancpi harta,1,43,3,1016,33.33%,4.23%,10,6.24
ancpi extrase cf,1,0,2,30,50%,0%,1,6.43
cat costa pensia alimentara pentru un copil,1,0,2,20,50%,0%,1,4.65
cat costa receptia unei case,1,0,2,0,50%,0%,1,0
certificat de celibat romania online,1,0,2,14,50%,0%,1,10.93
cota de tva in romania,1,0,2,0,50%,0%,1,0
data pensionarii,1,4,2,15,50%,26.67%,1,2.87
plata cass dividende 2026,1,1,2,6,50%,16.67%,1,1.83
sporul de noapte este obligatoriu,1,0,2,0,50%,0%,1,0
verificare iesire la pensie,1,0,2,6,50%,0%,1,2
calcul varsta pensionare barbati,1,2,2,8,50%,25%,1.5,4.75
impozit 6.2 benzina,1,0,2,0,50%,0%,1.5,0
nu,1,1,2,34,50%,2.94%,1.5,5.65
ocpi functional,1,0,2,21,50%,0%,2,4.52
calcul data pensionare femei,1,8,2,17,50%,47.06%,2.5,2
pensie anticipata femei 1969 cu penalizare,1,2,2,18,50%,11.11%,3,4.89
ancpi eterra,1,142,2,4304,50%,3.3%,4.5,6.66
cate zile plateste angajatorul din concediul medical 2026,1,0,2,24,50%,0%,5.5,8.46
concediu medical 2026,1,59,2,902,50%,6.54%,7.5,4.37
harta cadastrala,1,0,2,79,50%,0%,19,8.42
verifica rovinieta dupa numar,1,9,2,178,50%,5.06%,20,5.32
eterra ancpi,1,259,2,12982,50%,2%,24.5,7.45
calculator vechime in munca,1,43,2,262,50%,16.41%,26.5,6.07
ancpi extras cf online,1,20,1,541,100%,3.7%,1,6.4
ancpi romania,1,0,1,296,100%,0%,1,10.38
anticipat,1,0,1,0,100%,0%,1,0
calcul data iesire la pensie,1,3,1,10,100%,30%,1,3.3
calcul.indemnizatie crestere copil,1,2,1,11,100%,18.18%,1,2.82
calculator iesire la pensie 2026,1,11,1,23,100%,47.83%,1,1.83
calculator pensionare 2026,1,10,1,22,100%,45.45%,1,2
calculator varsta de pensionare 2026,1,9,1,22,100%,40.91%,1,1.95
certificat nastere constanta,1,0,1,0,100%,0%,1,0
epay ancpi,1,172,1,4966,100%,3.46%,1,5.91
https://epay.ancpi.ro,1,1,1,91,100%,1.1%,1,7.65
la ce varsta poti sa iesi la pensie anticipat,1,0,1,0,100%,0%,1,0
pana cand se plateste impozitul la masina,1,0,1,13,100%,0%,1,9.54
vârsta standard de pensionare la femei,1,2,1,11,100%,18.18%,1,2
3700,1,0,1,0,100%,0%,2,0
cadastru romania online,1,0,1,0,100%,0%,2,0
cand pot iesi la pensie dupa noua lege,1,4,1,22,100%,18.18%,2,3.73
certificat de celibat de unde se elibereaza,1,1,1,9,100%,11.11%,2,7.78
impozit pe chirii 2026,1,2,1,75,100%,2.67%,2,5.45
21.01.1970,1,0,1,0,100%,0%,3,0
calcularea varstei de pensionare,1,5,1,20,100%,25%,3,2.55
pentru craiova,1,0,1,0,100%,0%,3,0
tabel varsta de pensionare femei 2026,1,0,1,0,100%,0%,3,0
valoarea punctului de pensie 2026,1,11,1,190,100%,5.79%,3,2.22
vârstă pensionare femei,1,2,1,15,100%,13.33%,3,4.33
01.07.1977,1,0,1,0,100%,0%,4,0
calculatorul vârstei de pensionare,1,9,1,75,100%,12%,4,4.01
cat este impozitul pe venit in 2026,1,0,1,0,100%,0%,4,0
pensia alimentara pentru copii moldova,1,0,1,0,100%,0%,4,0
varsta de pensionare femei,1,4,1,58,100%,6.9%,4,4.86
cat este pensia de invaliditate gradul 1,1,4,1,65,100%,6.15%,5,2.68
cf online,1,42,1,1609,100%,2.61%,6,7.15
cadastrale online,1,0,1,0,100%,0%,7,0
contract chirie anaf,1,0,1,0,100%,0%,7,0
zile suportate de angajator la concedii medicale 2026,1,0,1,0,100%,0%,7,0
calculator pensie de stat,1,52,1,517,100%,10.06%,9,7.23
lapensie com calcul varsta pensionare,1,0,1,9,100%,0%,9,9.22
program eliberare cazier valcea,1,0,1,0,100%,0%,9,0
verificarea rovinieta online,1,4,1,108,100%,3.7%,9,4.4
verificate rovinieta online,1,4,1,135,100%,2.96%,11,4.54
www.erovinieta.ro,1,0,1,0,100%,0%,11,0
calcul procent din suma,1,7,1,295,100%,2.37%,12,4.35
extras cf online,1,54,1,2306,100%,2.34%,12,7.28
verificate rovinieta,1,55,1,895,100%,6.15%,12,4.83
control rovinieta online,1,11,1,194,100%,5.67%,13,5.01
varsta de pensionare femei 2026,1,17,1,532,100%,3.2%,13,6.21
verificare rovinieta gratuit,1,18,1,237,100%,7.59%,15,4.46
obtinere duplicat certificat de nastere,1,0,1,12,100%,0%,22,7.08
harta geoportal ancpi,1,4,1,68,100%,5.88%,23,7.07
cati ani de munca trebuie sa ai ca sa iesi la pensie anticipat,1,0,1,19,100%,0%,46,12.84
indemnizatie minima crestere copil,0,3,90,77,0%,3.9%,3.12,4.51
cota tva,0,3,88,179,0%,1.68%,1.64,1.76
cat la suta din salariu este pensia alimentara,0,1,78,52,0%,1.92%,1.83,3.19
amenda de rovinieta,0,1,62,64,0%,1.56%,7.24,6
valoare tva,0,1,61,157,0%,0.64%,1.07,2.44
impozit capacitate cilindrica,0,5,56,59,0%,8.47%,2.82,2.15
cazier,0,11,51,632,0%,1.74%,13.43,9.18
plafon indemnizatie crestere copil,0,2,50,45,0%,4.44%,3,1.91
taxa eliberare cazier judiciar,0,0,49,57,0%,0%,2.8,4.28
cât este tva ul,0,1,47,46,0%,2.17%,1.91,2.41
indemnizatie crestere copil maxim,0,1,47,31,0%,3.23%,1.94,1.74
impozit auto,0,249,47,1472,0%,16.92%,4.38,2.48
cat e valabil cazierul judiciar,0,0,46,14,0%,0%,7.04,10.64
cat este amenda pentru rovinieta 2026,0,1,46,59,0%,1.69%,7.46,3.59
cazier online,0,90,44,4351,0%,2.07%,25.84,7.36
cum se calculeaza pensia alimentara in romania,0,0,41,31,0%,0%,1.9,2.19
indemnizatie crestere copil salariu minim,0,0,41,27,0%,0%,1.98,1.96
plata taxa cazier judiciar online,0,0,41,90,0%,0%,17.29,5.06
taxa certificat de integritate comportamentala,0,1,40,68,0%,1.47%,9.95,3.26
ce procent din venit reprezinta indemnizatia de crestere a copilului,0,0,39,30,0%,0%,1.95,2.03
cazier judiciar,0,0,38,88,0%,0%,15.42,14.56
certificat de integritate comportamentala online,0,4,38,235,0%,1.7%,21.47,2.97
cerere cazier judiciar online,0,0,38,72,0%,0%,23.89,7.94
eliberare certificat de integritate comportamentala online,0,1,37,84,0%,1.19%,18.95,3.04
salariu concediu crestere copil,0,1,36,33,0%,3.03%,1.56,1.88
cazier judiciar persoane juridice,0,0,36,48,0%,0%,27.36,10.71
baza de calcul indemnizatie crestere copil,0,0,35,36,0%,0%,1.89,2.06
cat este tva?,0,0,35,35,0%,0%,1.91,1.49
vârsta de pensionare la femei 2026,0,9,35,93,0%,9.68%,7.03,5.19
maxim indemnizatie crestere copil,0,0,34,34,0%,0%,2.03,1.71
acte cazier,0,0,34,40,0%,0%,22.09,10.28
cazier judiciar persoane fizice,0,0,34,128,0%,0%,25.68,9.6
procent indemnizatie crestere copil,0,2,33,29,0%,6.9%,1.85,1.93
indemnizatie concediu crestere copil,0,1,32,25,0%,4%,2.44,2.64
taxa cazier judiciar online,0,0,32,61,0%,0%,20.25,4.48
eliberare cazier auto online,0,1,32,88,0%,1.14%,25.03,4.08
cat costa cazier judiciar online,0,0,32,59,0%,0%,28.66,4.76
taxa eliberare cazier,0,0,31,45,0%,0%,15.52,3.09
acte cazier auto,0,0,31,47,0%,0%,22.32,5.4
certificat de cazier fiscal,0,1,31,143,0%,0.7%,59.97,16.4
cota tva romania,0,2,30,70,0%,2.86%,1,1.93
acte cazier judiciar firma,0,0,30,41,0%,0%,23.03,10.71
cazier judiciar online persoane juridice,0,0,30,69,0%,0%,24.23,10.81
harta cadastru,0,19,29,711,0%,2.67%,2.03,8.35
se plateste taxa pentru cazier,0,0,29,44,0%,0%,3.59,4.09
eliberare cazier judiciar online,0,6,29,422,0%,1.42%,10.62,8.27
cazier juridic pret,0,0,29,40,0%,0%,15.83,3.88
pret eliberare cazier,0,0,29,44,0%,0%,17.31,3.2
pret cazier online,0,0,29,54,0%,0%,28.14,5.02
cazier judiciar online pret,0,1,29,114,0%,0.88%,28.76,4.13
indemnizatie crestere copil,0,1,29,120,0%,0.83%,39.1,13.99
plata impozit auto,0,0,29,50,0%,0%,53.31,10.6
cat este indemnizatia pentru crestere copil,0,4,28,31,0%,12.9%,1.71,1.55
cat e valabil extrasul de carte funciara,0,2,28,32,0%,6.25%,4.64,3.62
certificat integritate comportamentala online,0,2,28,115,0%,1.74%,20.39,3.9
cazier judiciar pret,0,2,28,52,0%,3.85%,26.61,3.42
cat costa cazierul judiciar online,0,1,28,55,0%,1.82%,28.43,2.93
ultima luna de plata indemnizatie crestere copil,0,0,28,101,0%,0%,45.64,11.72
cat este tva ul in romania,0,0,27,61,0%,0%,1,1.87
indemnizatia maxima crestere copil,0,1,27,23,0%,4.35%,4.7,1.78
amenda vigneta romania,0,2,27,39,0%,5.13%,5.85,2.13
certificat constatator extins,0,2,27,235,0%,0.85%,26.52,7.67
fiscal auto,0,0,26,34,0%,0%,52.62,44.85
ce pensie ai la 25 ani vechime forum,0,0,25,0,0%,0%,1,0
cat e tva?,0,0,25,18,0%,0%,2.36,2.39
femeie nascuta in 1969 cand ies la pensie,0,4,25,40,0%,10%,2.6,3.6
certificat de integritate comportamentala,0,27,25,1738,0%,1.55%,20.24,2.81
acte cazier judiciar persoana fizica,0,0,25,37,0%,0%,26.8,10.76
fluturas de salariu,0,0,25,0,0%,0%,83.32,0
impozit motor 2.0,0,2,24,108,0%,1.85%,1.04,3.65
pensie alimentara minim pe economie,0,2,24,35,0%,5.71%,1.71,2.34
cazier online pret,0,0,24,65,0%,0%,29.12,5
impozit auto ploiesti,0,0,24,50,0%,0%,34.58,7.84
tva 2025,0,0,23,37,0%,0%,4.22,5.11
impozit auto constanta,0,0,23,36,0%,0%,41.74,8.31
calcul indemnizatie concediu crestere copil,0,0,22,28,0%,0%,1.95,1.96
indemnizatie crestere copil plafon,0,0,22,23,0%,0%,5.27,2
cum scoti cazier online,0,0,22,34,0%,0%,6.77,8.12
dobanda penalizatoare legala,0,2,22,30,0%,6.67%,8.45,1.5
cand s-a schimbat tva la 21,0,0,22,21,0%,0%,9.23,6.43
concediu de crestere copil calcul,0,0,21,32,0%,0%,1.9,1.47
calcul concediu medical cod indemnizatie 14,0,0,21,5,0%,0%,6.71,20.2
cazier judiciar taxa,0,0,21,46,0%,0%,7.71,3.67
cazier judiciar online constanța,0,0,21,4,0%,0%,7.9,11
concedii medicale 2026 prima zi neplatita,0,0,21,5,0%,0%,8.05,9.4
cine plateste indemnizatia de crestere copil,0,0,21,13,0%,0%,17,14.92
pret cazier judiciar online,0,0,21,69,0%,0%,29.86,4.94
calculator onorariu notar,0,0,21,5,0%,0%,86.62,9.4
cat e tva ul in romania,0,0,20,37,0%,0%,1,2.22
indemnizatie crestere copil valoare,0,0,20,26,0%,0%,1.6,1.62
extras carte funciara valabilitate,0,2,20,28,0%,7.14%,1.85,1.64
indemnizatia se calculeaza din brut sau net,0,1,20,31,0%,3.23%,1.9,2
eghiseul.ro impozit,0,0,20,0,0%,0%,5.7,0
calculul concediului medical,0,0,19,9,0%,0%,1,1
calculul pensiei pe caz de boala,0,2,19,10,0%,20%,1.05,1.2
cuantumul pensiei de invaliditate,0,0,19,22,0%,0%,2,2.18
ghiseul ro calculator,0,0,19,15,0%,0%,43.95,8.87
impozit masina hibrid,0,0,19,28,0%,0%,76.63,3.82
impozit auto hibrid,0,0,19,35,0%,0%,78.05,4.91
calculator notarial,0,0,19,34,0%,0%,78.42,8.59
costuri notariale,0,0,19,40,0%,0%,88.26,10.9
impozit 3000 diesel,0,2,18,25,0%,8%,3,2.28
amenda rovinieta se plateste la jumatate,0,1,18,27,0%,3.7%,7.67,2.33
plafon maxim indemnizatie crestere copil,0,0,18,36,0%,0%,20.17,1.89
cas pfa,0,0,18,51,0%,0%,61.39,4.22
taxe notar vanzare apartament,0,0,18,0,0%,0%,87.39,0
taxa notariala vanzare apartament,0,0,18,0,0%,0%,87.44,0
calculator taxe notariale credit ipotecar,0,0,18,6,0%,0%,87.61,15.17
taxe notariale vanzare apartament,0,0,18,5,0%,0%,88.72,30
taxe notariale vanzare casa,0,0,18,0,0%,0%,93.17,0
calcul tva imobiliare,0,0,17,7,0%,0%,1,1
cât este pensia alimentara la un copil,0,4,17,30,0%,13.33%,1.53,2.3
cat e amenda de rovinieta 2026,0,0,17,13,0%,0%,7.29,5.77
calcul dobanda legala,0,19,17,124,0%,15.32%,11,2.1
acte necesare cazier auto,0,0,17,68,0%,0%,29.76,5.81
cazier permis,0,1,17,34,0%,2.94%,33.76,14.21
salariu de baza,0,0,17,85,0%,0%,54.35,5.25
cazier fiscal online,0,30,17,994,0%,3.02%,65.06,8.28
taxe notariale vanzare cumparare,0,0,17,6,0%,0%,88.65,30.5
taxa notar vanzare apartament,0,0,17,0,0%,0%,92.59,0
taxe notariale credit ipotecar,0,1,17,4,0%,25%,92.65,21
cass la dividende 2026,0,1,16,16,0%,6.25%,1.19,1.88
impozit hibrid,0,0,16,24,0%,0%,67.44,3.33
ce procent din salariu reprezinta pensia alimentara pentru un copil,0,0,15,25,0%,0%,1.93,8.8
cat e valabil cazierul auto,0,0,15,10,0%,0%,3.47,1.9
indemnizatie crestere copil daca nu am lucrat 12 luni,0,0,15,5,0%,0%,31.8,15
cat este amenda de rovinieta,0,3,15,178,0%,1.69%,39.53,4.47
taxe inchiriere apartament,0,0,15,59,0%,0%,50.47,8.98
taxe notariale cumparare apartament,0,0,15,0,0%,0%,94.8,0
cota tva 21%,0,0,14,11,0%,0%,1,1
cote de tva,0,0,14,0,0%,0%,1,0
tva cat este,0,0,14,5,0%,0%,1.57,3.4
pensie de invaliditate gradul 2 suma,0,2,14,15,0%,13.33%,2,1.6
tabel varsta de pensionare femei,0,1,14,11,0%,9.09%,5.43,8.73
certificat de celibat,0,2,14,101,0%,1.98%,6.43,4.12
prescurtare certificat de nastere,0,0,14,0,0%,0%,10.57,0
cazier auto,0,82,14,537,0%,15.27%,25.79,2.31
carte funciara,0,3,14,141,0%,2.13%,41,18.4
cat e tva-ul in romania,0,0,13,35,0%,0%,1,2.57
cote tva romania,0,0,13,26,0%,0%,1,1.96
tva actual,0,0,13,21,0%,0%,1,3.43
tabel pensionare anticipata femei,0,1,13,10,0%,10%,1.08,5.5
cat este tva in romania?,0,0,13,16,0%,0%,1.15,1.94
concediu crestere copil calcul,0,1,13,27,0%,3.7%,1.62,1.52
tva romania,0,6,13,1491,0%,0.4%,2.62,4.23
cass concedii medicale 2026,0,0,13,7,0%,0%,4.38,10.29
varsta de pensionare romania 2026,0,3,13,28,0%,10.71%,4.69,5.07
de cand e tva 21,0,0,13,17,0%,0%,5.23,7.29
cat e amenda pentru rovinieta 2026,0,0,13,18,0%,0%,7.69,4
procent tva 2026,0,0,13,0,0%,0%,8.15,0
impozit autorulota 2026,0,0,13,25,0%,0%,8.31,2.4
de unde se scoate certificat de integritate comportamentala,0,1,13,69,0%,1.45%,13.54,3.74
plata amenda rovinieta,0,11,13,481,0%,2.29%,40.85,8.35
rovinieta,0,1,13,53,0%,1.89%,66.15,18.38
asigurare si impozit motor 3000,0,0,12,54,0%,0%,1,6.93
care este tva ul in romania,0,0,12,0,0%,0%,1,0
cât e tva în românia,0,0,12,49,0%,0%,1,3.14
cat este tva acum,0,2,12,13,0%,15.38%,1.33,1.38
certificat de nastere electronic,0,0,12,13,0%,0%,1.33,3.77
cat este tva ul?,0,0,12,6,0%,0%,1.5,1.17
daca lucrezi in strainatate primesti pensie in romania,0,0,12,6,0%,0%,1.67,1.83
cerere extras carte funciara,0,0,12,8,0%,0%,1.75,9.12
tva actual romania,0,0,12,0,0%,0%,2.83,0
avocatura calculator dobanda legala,0,2,12,9,0%,22.22%,8.58,6.11
ancpi geoportal,0,278,12,7722,0%,3.6%,10.75,6.24
eliberare cazier judiciar online iasi,0,0,12,0,0%,0%,18.75,0
cazier ro,0,0,12,12,0%,0%,20.17,20.5
cat este amenda pentru rovinieta,0,6,12,467,0%,1.28%,37.17,4.39
taxa cazier judiciar,0,4,12,247,0%,1.62%,38,4.82
amenda rovinieta,0,47,12,1970,0%,2.39%,41.17,5.3
rectificare carte funciara,0,0,12,0,0%,0%,73,0
certificat fiscal pentru cadastru si intabulare pret,0,0,11,5,0%,0%,1,8.4
cota tva 2025,0,0,11,33,0%,0%,1,4.18
valoare tva romania,0,0,11,27,0%,0%,1,1.44
valoarea tva,0,0,11,6,0%,0%,1,4.33
cat se plateste pensia alimentara,0,1,11,43,0%,2.33%,1.09,3.93
cum se calculeaza indemnizatia pentru cresterea copilului in 2026,0,0,11,32,0%,0%,1.82,2.62
valoare tva 2025,0,0,11,0,0%,0%,1.82,0
indemnizatie maxima crestere copil,0,2,11,19,0%,10.53%,2.18,1.74
cat este cota tva in romania,0,1,11,10,0%,10%,2.55,2.4
de cand e tva 21%,0,0,11,7,0%,0%,3.73,7.71
calculator taxa judiciara de timbru,0,6,11,356,0%,1.69%,17.09,6.39
de unde scot cazierul,0,0,11,9,0%,0%,23.64,7.44
ghiseul online,0,0,11,12,0%,0%,45.91,17.92
verificare cazier judiciar angajat,0,0,11,16,0%,0%,54.82,20.5
control rovinieta,0,6,11,348,0%,1.72%,60.91,9.1
fluturas salariu,0,0,11,0,0%,0%,83.27,0
calculator taxa notar,0,0,11,13,0%,0%,94.45,9.08
care este impozitul pe dividende in 2026,0,0,10,11,0%,0%,1,2
cat costa pensia alimentara,0,0,10,12,0%,0%,1,2.42
pensie alimentara pentru 2 copii,0,1,10,11,0%,9.09%,1.2,2.73
care este indemnizatia maxima pentru cresterea copilului,0,0,10,11,0%,0%,2,1.36
nascuta in anul 1969 cand ies la pensie,0,2,10,18,0%,11.11%,2.5,3.83
cand pot sa ies la pensie dupa noua lege,0,0,10,5,0%,0%,2.8,3
calculator impozit auto,0,165,10,1571,0%,10.5%,3.5,2.99
scade impozitul pe dividende,0,0,10,4,0%,0%,4.7,7.25
vârsta pensionare femei 2026,0,0,10,23,0%,0%,6.7,6.04
program cazier satu mare,0,0,10,102,0%,0%,17.2,7.68
cazier judiciar piatra neamt,0,0,10,12,0%,0%,18,8.42
cat este impozitul pe salariu,0,1,10,80,0%,1.25%,57.3,9.16
certificat fiscal masina,0,0,10,24,0%,0%,68.6,62.58
taxa timbru verde calcul,0,0,10,0,0%,0%,77.4,0
releveu boma,0,0,10,0,0%,0%,95.5,0
de cand este tva 21 la suta,0,0,9,17,0%,0%,1,5.82
calcul concediu crestere copil 2026,0,3,9,18,0%,16.67%,1.11,2.11
cat e pensia alimentara in romania,0,0,9,16,0%,0%,1.11,1.88
cat este indemnizatia,0,0,9,13,0%,0%,1.11,2.31
certificat de nastere tipizat sau electronic,0,1,9,3,0%,33.33%,1.11,1
cum se calculeaza pensia alimentara?,0,0,9,0,0%,0%,1.22,0
impozite masini 2026,0,7,9,16,0%,43.75%,1.22,1.62
cat este pensia alimentara pt 2 copii,0,0,9,6,0%,0%,1.33,1.83
cat este pensia alimentara in romania,0,0,9,18,0%,0%,1.56,1.83
valabilitate extras carte funciara pentru vanzare,0,0,9,7,0%,0%,1.78,2.14
tva valoare,0,0,9,3,0%,0%,1.89,2.33
